"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"HdAudAddService","Драйвер функции UAA для службы High Definition Audio (Microsoft), версия 1.1","Драйвер функции UAA для службы High Definition Audio (Microsoft), версия 1.1","Kernel ","Manual","Stopped","OK","FALSE","FALSE","385 024","40 960","0","","C:\WINDOWS\system32\drivers\HdAudio.sys","4 096"
"HDAudBus","Драйвер для шины UAA для High Definition Audio (Microsoft)","Драйвер для шины UAA для High Definition Audio (Microsoft)","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","102 400","0","","C:\WINDOWS\system32\drivers\HDAudBus.sys","4 096"
"HidBatt","Драйвер батареи ИБП HID","Драйвер батареи ИБП HID","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","28 672","0","","C:\WINDOWS\system32\drivers\HidBatt.sys","4 096"
"HidBth","Microsoft Bluetooth HID минипорт","Microsoft Bluetooth HID минипорт","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","57 344","0","","C:\WINDOWS\system32\drivers\hidbth.sys","4 096"
"HidEventFilter","Intel(R) HID Event Filter","Intel(R) HID Event Filter","Kernel ","Manual","Running","OK","TRUE","FALSE","0","53 248","0","19.04.2023 20:52:22","C:\WINDOWS\system32\DriverStore\FileRepository\hideventfilter.inf_amd64_8b4344345b8897be\HidEventFilter.sys","4 096"
"hidi2c","Драйвер минипорта для HID-устройств на шине I2C (Майкрософт)","Драйвер минипорта для HID-устройств на шине I2C (Майкрософт)","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","57 344","0","","C:\WINDOWS\system32\drivers\hidi2c.sys","4 096"
"hidinterrupt","Общий драйвер для кнопок HID, внедренных с прерываниями","Общий драйвер для кнопок HID, внедренных с прерываниями","Kernel ","Manual","Running","OK","TRUE","FALSE","16 384","24 576","0","","C:\WINDOWS\system32\drivers\hidinterrupt.sys","4 096"
"HidIr","Microsoft Infrared HID драйвер","Microsoft Infrared HID драйвер","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","28 672","0","","C:\WINDOWS\system32\drivers\hidir.sys","4 096"
"hidspi","Драйвер минипорта для HID-устройств SPI Microsoft","Драйвер минипорта для HID-устройств SPI Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","86 016","0","","C:\WINDOWS\system32\drivers\hidspi.sys","4 096"
"HidSpiCx","HidSpi KMDF Class Extension","HidSpi KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","77 824","0","","C:\WINDOWS\system32\drivers\HidSpiCx.sys","4 096"
